Partita,O,U
Bologna-Lazio,0.24853415488628205,0.751465845113718
Salernitana-Napoli,0.6976823856226133,0.3023176143773867
Atalanta-Inter,0.4265871506782247,0.5734128493217753
Milan-Udinese,0.2448775668848766,0.7551224331151234
Verona-Monza,0.1678294833116042,0.8321705166883958
Cagliari-Genoa,0.3885288714071782,0.6114711285928218
Roma-Lecce,0.5615544274814902,0.4384455725185098
Fiorentina-Juventus,0.40031384564184513,0.5996861543581549
Frosinone-Empoli,0.5933916810107711,0.40660831898922895
Torino-Sassuolo,0.43455342461535085,0.5654465753846492
