Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,34.0,52.0,18.0,4.0,2.0,1,49.0,15.0
Milan,23.0,46.0,23.0,3.0,3.0,2,48.0,15.0
Napoli,22.0,37.0,15.0,4.0,4.0,3,43.0,13.0
Atalanta,18.0,48.0,30.0,6.0,3.0,4,42.0,12.0
Juventus,11.0,32.0,21.0,5.0,5.0,5,38.0,11.0
Roma,7.0,35.0,28.0,2.0,9.0,6,32.0,10.0
Lazio,4.0,43.0,39.0,5.0,7.0,7,32.0,9.0
Fiorentina,1.0,34.0,33.0,2.0,9.0,8,32.0,10.0
Bologna,-4.0,30.0,34.0,3.0,9.0,9,30.0,9.0
Torino,8.0,31.0,23.0,5.0,8.0,10,29.0,8.0
Sassuolo,3.0,36.0,33.0,7.0,7.0,11,28.0,7.0
Empoli,-8.0,34.0,42.0,4.0,9.0,12,28.0,8.0
Verona,2.0,37.0,35.0,6.0,8.0,13,27.0,7.0
Udinese,-3.0,32.0,35.0,8.0,8.0,14,23.0,5.0
Sampdoria,-10.0,28.0,38.0,5.0,11.0,15,20.0,5.0
Spezia,-20.0,21.0,41.0,4.0,12.0,16,19.0,5.0
Venezia,-20.0,19.0,39.0,5.0,12.0,17,17.0,4.0
Salernitana,-28.0,16.0,44.0,2.0,14.0,18,17.0,5.0
Cagliari,-21.0,21.0,42.0,7.0,11.0,19,16.0,3.0
Genoa,-19.0,20.0,39.0,9.0,11.0,20,12.0,1.0
