Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Napoli,16.0,19.0,3.0,0.0,0.0,1,24.0,8.0
Milan,11.0,18.0,7.0,1.0,0.0,2,22.0,7.0
Inter,12.0,23.0,11.0,2.0,1.0,3,17.0,5.0
Roma,7.0,16.0,9.0,0.0,3.0,4,15.0,5.0
Lazio,5.0,18.0,13.0,2.0,2.0,5,14.0,4.0
Atalanta,4.0,14.0,10.0,2.0,2.0,6,14.0,4.0
Juventus,2.0,12.0,10.0,2.0,2.0,7,14.0,4.0
Bologna,-2.0,13.0,15.0,3.0,2.0,8,12.0,3.0
Fiorentina,-2.0,10.0,12.0,0.0,4.0,9,12.0,4.0
Udinese,-2.0,10.0,12.0,3.0,3.0,10,9.0,2.0
Empoli,-6.0,10.0,16.0,0.0,5.0,11,9.0,3.0
Torino,1.0,9.0,8.0,2.0,4.0,12,8.0,2.0
Verona,0.0,17.0,17.0,2.0,4.0,13,8.0,2.0
Sassuolo,-2.0,9.0,11.0,2.0,4.0,14,8.0,2.0
Venezia,-6.0,6.0,12.0,2.0,4.0,15,8.0,2.0
Spezia,-10.0,10.0,20.0,1.0,5.0,16,7.0,2.0
Sampdoria,-5.0,11.0,16.0,3.0,4.0,17,6.0,1.0
Genoa,-6.0,12.0,18.0,3.0,4.0,18,6.0,1.0
Cagliari,-6.0,11.0,17.0,3.0,4.0,19,6.0,1.0
Salernitana,-11.0,6.0,17.0,1.0,6.0,20,4.0,1.0
