Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Milan,24.0,50.0,26.0,4.0,4.0,1,55.0,17.0
Inter,34.0,56.0,22.0,6.0,3.0,2,54.0,16.0
Napoli,29.0,46.0,17.0,5.0,4.0,3,53.0,16.0
Juventus,15.0,37.0,22.0,7.0,5.0,4,46.0,13.0
Atalanta,17.0,50.0,33.0,9.0,4.0,5,45.0,12.0
Lazio,13.0,52.0,39.0,6.0,7.0,6,42.0,12.0
Roma,10.0,42.0,32.0,4.0,9.0,7,40.0,12.0
Fiorentina,5.0,43.0,38.0,3.0,10.0,8,39.0,12.0
Verona,7.0,47.0,40.0,6.0,9.0,9,36.0,10.0
Torino,6.0,35.0,29.0,6.0,10.0,10,33.0,9.0
Empoli,-10.0,38.0,48.0,7.0,10.0,11,31.0,8.0
Bologna,-10.0,31.0,41.0,4.0,12.0,12,31.0,9.0
Sassuolo,-3.0,41.0,44.0,9.0,9.0,13,30.0,7.0
Udinese,-7.0,34.0,41.0,9.0,10.0,14,27.0,6.0
Spezia,-19.0,27.0,46.0,5.0,13.0,15,26.0,7.0
Sampdoria,-9.0,33.0,42.0,5.0,14.0,16,23.0,6.0
Cagliari,-21.0,25.0,46.0,9.0,12.0,17,21.0,4.0
Venezia,-22.0,23.0,45.0,6.0,14.0,18,21.0,5.0
Salernitana,-34.0,20.0,54.0,4.0,16.0,19,19.0,5.0
Genoa,-25.0,21.0,46.0,12.0,12.0,20,15.0,1.0
