Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Milan,27.0,56.0,29.0,7.0,4.0,1,67.0,20.0
Napoli,33.0,56.0,23.0,6.0,5.0,2,66.0,20.0
Inter,38.0,64.0,26.0,9.0,4.0,3,63.0,18.0
Juventus,20.0,47.0,27.0,8.0,6.0,4,59.0,17.0
Roma,16.0,51.0,35.0,6.0,9.0,5,54.0,16.0
Atalanta,18.0,56.0,38.0,10.0,7.0,6,52.0,14.0
Lazio,14.0,60.0,46.0,7.0,9.0,7,52.0,15.0
Fiorentina,7.0,49.0,42.0,5.0,11.0,8,50.0,15.0
Verona,9.0,56.0,47.0,9.0,10.0,9,45.0,12.0
Sassuolo,5.0,56.0,51.0,10.0,10.0,10,43.0,11.0
Torino,5.0,39.0,34.0,9.0,12.0,11,39.0,10.0
Bologna,-11.0,34.0,45.0,7.0,14.0,12,37.0,10.0
Udinese,-3.0,45.0,48.0,12.0,11.0,13,36.0,8.0
Empoli,-15.0,41.0,56.0,9.0,14.0,14,33.0,8.0
Spezia,-22.0,32.0,54.0,5.0,17.0,15,32.0,9.0
Sampdoria,-13.0,39.0,52.0,5.0,18.0,16,29.0,8.0
Cagliari,-30.0,29.0,59.0,10.0,16.0,17,25.0,5.0
Genoa,-25.0,23.0,48.0,16.0,13.0,18,22.0,2.0
Venezia,-31.0,26.0,57.0,7.0,19.0,19,22.0,5.0
Salernitana,-42.0,25.0,67.0,7.0,19.0,20,22.0,5.0
