Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Roma,7.0,9.0,2.0,0.0,0.0,1,9.0,3.0
Milan,6.0,7.0,1.0,0.0,0.0,2,9.0,3.0
Napoli,4.0,6.0,2.0,0.0,0.0,3,9.0,3.0
Inter,6.0,9.0,3.0,1.0,0.0,4,7.0,2.0
Udinese,4.0,6.0,2.0,1.0,0.0,5,7.0,2.0
Bologna,2.0,4.0,2.0,1.0,0.0,6,7.0,2.0
Lazio,5.0,9.0,4.0,0.0,1.0,7,6.0,2.0
Fiorentina,0.0,5.0,5.0,0.0,1.0,8,6.0,2.0
Sassuolo,0.0,4.0,4.0,1.0,1.0,9,4.0,1.0
Atalanta,0.0,3.0,3.0,1.0,1.0,10,4.0,1.0
Torino,2.0,6.0,4.0,0.0,2.0,11,3.0,1.0
Empoli,-2.0,3.0,5.0,0.0,2.0,12,3.0,1.0
Genoa,-4.0,4.0,8.0,0.0,2.0,13,3.0,1.0
Venezia,-4.0,2.0,6.0,0.0,2.0,14,3.0,1.0
Sampdoria,-1.0,2.0,3.0,2.0,1.0,15,2.0,0.0
Juventus,-2.0,3.0,5.0,1.0,2.0,16,1.0,0.0
Cagliari,-4.0,5.0,9.0,1.0,2.0,17,1.0,0.0
Spezia,-6.0,3.0,9.0,1.0,2.0,18,1.0,0.0
Verona,-4.0,3.0,7.0,0.0,3.0,19,0.0,0.0
Salernitana,-9.0,2.0,11.0,0.0,3.0,20,0.0,0.0
