Squadra,Gf,Gs,Punti,V,N,P,Diff,Posizione
Inter,4.0,0.0,3.0,1.0,0.0,0.0,4.0,1
Lazio,3.0,1.0,3.0,1.0,0.0,0.0,2.0,2
Roma,3.0,1.0,3.0,1.0,0.0,0.0,2.0,3
Napoli,2.0,0.0,3.0,1.0,0.0,0.0,2.0,4
Bologna,3.0,2.0,3.0,1.0,0.0,0.0,1.0,5
Sassuolo,3.0,2.0,3.0,1.0,0.0,0.0,1.0,6
Atalanta,2.0,1.0,3.0,1.0,0.0,0.0,1.0,7
Milan,1.0,0.0,3.0,1.0,0.0,0.0,1.0,8
Cagliari,2.0,2.0,1.0,0.0,1.0,0.0,0.0,9
Juventus,2.0,2.0,1.0,0.0,1.0,0.0,0.0,10
Spezia,2.0,2.0,1.0,0.0,1.0,0.0,0.0,11
Udinese,2.0,2.0,1.0,0.0,1.0,0.0,0.0,12
Salernitana,2.0,3.0,0.0,0.0,0.0,1.0,-1.0,13
Verona,2.0,3.0,0.0,0.0,0.0,1.0,-1.0,14
Torino,1.0,2.0,0.0,0.0,0.0,1.0,-1.0,15
Sampdoria,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,16
Empoli,1.0,3.0,0.0,0.0,0.0,1.0,-2.0,17
Fiorentina,1.0,3.0,0.0,0.0,0.0,1.0,-2.0,18
Venezia,0.0,2.0,0.0,0.0,0.0,1.0,-2.0,19
Genoa,0.0,4.0,0.0,0.0,0.0,1.0,-4.0,20
