Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Napoli,20.0,23.0,3.0,1.0,0.0,1,31.0,10.0
Milan,15.0,25.0,10.0,1.0,0.0,2,31.0,10.0
Inter,16.0,28.0,12.0,3.0,1.0,3,24.0,7.0
Roma,7.0,19.0,12.0,1.0,4.0,4,19.0,6.0
Atalanta,6.0,20.0,14.0,4.0,2.0,5,19.0,5.0
Lazio,3.0,22.0,19.0,3.0,3.0,6,18.0,5.0
Fiorentina,3.0,16.0,13.0,0.0,5.0,7,18.0,6.0
Verona,4.0,24.0,20.0,3.0,4.0,8,15.0,4.0
Juventus,0.0,15.0,15.0,3.0,4.0,9,15.0,4.0
Bologna,-5.0,17.0,22.0,3.0,4.0,10,15.0,4.0
Empoli,-5.0,16.0,21.0,0.0,6.0,11,15.0,5.0
Torino,4.0,15.0,11.0,2.0,5.0,12,14.0,4.0
Sassuolo,0.0,15.0,15.0,2.0,5.0,13,14.0,4.0
Udinese,-4.0,12.0,16.0,5.0,4.0,14,11.0,2.0
Sampdoria,-9.0,14.0,23.0,3.0,6.0,15,9.0,2.0
Venezia,-9.0,8.0,17.0,3.0,6.0,16,9.0,2.0
Genoa,-7.0,15.0,22.0,5.0,5.0,17,8.0,1.0
Spezia,-14.0,12.0,26.0,2.0,7.0,18,8.0,2.0
Salernitana,-13.0,10.0,23.0,1.0,8.0,19,7.0,2.0
Cagliari,-12.0,12.0,24.0,3.0,7.0,20,6.0,1.0
