Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Lazio,7.0,9.0,2.0,0.0,0.0,1,6.0,2.0
Inter,6.0,7.0,1.0,0.0,0.0,2,6.0,2.0
Roma,6.0,7.0,1.0,0.0,0.0,3,6.0,2.0
Milan,4.0,5.0,1.0,0.0,0.0,4,6.0,2.0
Napoli,3.0,4.0,1.0,0.0,0.0,5,6.0,2.0
Udinese,3.0,5.0,2.0,1.0,0.0,6,4.0,1.0
Bologna,1.0,3.0,2.0,1.0,0.0,7,4.0,1.0
Sassuolo,1.0,3.0,2.0,1.0,0.0,8,4.0,1.0
Atalanta,1.0,2.0,1.0,1.0,0.0,9,4.0,1.0
Fiorentina,-1.0,3.0,4.0,0.0,1.0,10,3.0,1.0
Empoli,-1.0,2.0,3.0,0.0,1.0,11,3.0,1.0
Juventus,-1.0,2.0,3.0,1.0,1.0,12,1.0,0.0
Sampdoria,-1.0,0.0,1.0,1.0,1.0,13,1.0,0.0
Cagliari,-3.0,3.0,6.0,1.0,1.0,14,1.0,0.0
Spezia,-5.0,3.0,8.0,1.0,1.0,15,1.0,0.0
Torino,-2.0,2.0,4.0,0.0,2.0,16,0.0,0.0
Verona,-3.0,3.0,6.0,0.0,2.0,17,0.0,0.0
Salernitana,-5.0,2.0,7.0,0.0,2.0,18,0.0,0.0
Genoa,-5.0,1.0,6.0,0.0,2.0,19,0.0,0.0
Venezia,-5.0,0.0,5.0,0.0,2.0,20,0.0,0.0
