Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,28.0,43.0,15.0,4.0,1.0,1,40.0,12.0
Milan,17.0,36.0,19.0,3.0,2.0,2,39.0,12.0
Atalanta,17.0,37.0,20.0,4.0,2.0,3,37.0,11.0
Napoli,21.0,34.0,13.0,3.0,3.0,4,36.0,11.0
Fiorentina,9.0,31.0,22.0,0.0,7.0,5,30.0,10.0
Roma,7.0,26.0,19.0,1.0,7.0,6,28.0,9.0
Juventus,6.0,23.0,17.0,4.0,5.0,7,28.0,8.0
Empoli,-2.0,27.0,29.0,2.0,7.0,8,26.0,8.0
Lazio,1.0,33.0,32.0,4.0,6.0,9,25.0,7.0
Bologna,-5.0,24.0,29.0,3.0,7.0,10,24.0,7.0
Verona,3.0,33.0,30.0,5.0,6.0,11,23.0,6.0
Sassuolo,2.0,28.0,26.0,5.0,6.0,12,23.0,6.0
Torino,4.0,22.0,18.0,4.0,7.0,13,22.0,6.0
Sampdoria,-8.0,25.0,33.0,3.0,9.0,14,18.0,5.0
Udinese,-6.0,22.0,28.0,8.0,6.0,15,17.0,3.0
Venezia,-14.0,16.0,30.0,4.0,9.0,16,16.0,4.0
Spezia,-21.0,17.0,38.0,3.0,11.0,17,12.0,3.0
Genoa,-16.0,18.0,34.0,7.0,9.0,18,10.0,1.0
Cagliari,-17.0,17.0,34.0,7.0,9.0,19,10.0,1.0
Salernitana,-26.0,11.0,37.0,2.0,13.0,20,8.0,2.0
