Partita,O,U
Lecce-Fiorentina,0.47471966533941834,0.5252803346605817
Empoli-Genoa,0.2747091322623858,0.7252908677376142
Udinese-Monza,0.22592226553464057,0.7740777344653594
Frosinone-Milan,0.6293090356182294,0.3706909643817707
Bologna-Sassuolo,0.41177073334334835,0.5882292666566517
Torino-Salernitana,0.36209388855920377,0.6379061114407962
Napoli-Verona,0.36440711365437095,0.635592886345629
Atalanta-Lazio,0.41497220264437473,0.5850277973556253
Inter-Juventus,0.5288321072681905,0.4711678927318094
Roma-Cagliari,0.4784085050264647,0.5215914949735353
