Partita,V,N,P
Lecce-Fiorentina,0.3663758957257865,0.4180867173862671,0.21553738688794644
Empoli-Genoa,0.41341488315149927,0.37009797077630946,0.21648714607219122
Udinese-Monza,0.15772413473177765,0.3901389220108055,0.45213694325741693
Frosinone-Milan,0.09250673000831063,0.21372330553688373,0.6937699644548055
Bologna-Sassuolo,0.6160272086741345,0.3609902209069686,0.022982570418897
Torino-Salernitana,0.7784775684064643,0.19367227840223866,0.027850153191297085
Napoli-Verona,0.4457338678585755,0.3050313392042191,0.2492347929372054
Atalanta-Lazio,0.6171724172003762,0.23870088840631704,0.1441266943933068
Inter-Juventus,0.7624987911179092,0.1432629004331459,0.09423830844894492
Roma-Cagliari,0.5418567986764062,0.3107590373447092,0.14738416397888449
