Partita,GG,NG
Lecce-Fiorentina,0.5971563981042654,0.4028436018957346
Empoli-Genoa,0.5545023696682464,0.44549763033175355
Udinese-Monza,0.6255924170616114,0.3744075829383886
Frosinone-Milan,0.6445497630331753,0.35545023696682465
Bologna-Sassuolo,0.5639810426540285,0.43601895734597157
Torino-Salernitana,0.5402843601895735,0.4597156398104265
Napoli-Verona,0.5450236966824644,0.4549763033175355
Atalanta-Lazio,0.5213270142180095,0.4786729857819905
Inter-Juventus,0.5639810426540285,0.43601895734597157
Roma-Cagliari,0.4976303317535545,0.5023696682464455
