Partita,GG,NG
Frosinone-Salernitana,0.5308056872037915,0.46919431279620855
Lecce-Monza,0.5829383886255924,0.41706161137440756
Juventus-Milan,0.5308056872037915,0.46919431279620855
Lazio-Verona,0.5118483412322274,0.4881516587677725
Inter-Torino,0.5071090047393365,0.4928909952606635
Bologna-Udinese,0.46445497630331756,0.5355450236966824
Atalanta-Empoli,0.5213270142180095,0.4786729857819905
Napoli-Roma,0.5165876777251185,0.4834123222748815
Fiorentina-Sassuolo,0.5308056872037915,0.46919431279620855
Genoa-Cagliari,0.5355450236966824,0.46445497630331756
