Partita,O,U
Frosinone-Salernitana,0.6100786854930481,0.3899213145069519
Lecce-Monza,0.38363957140952487,0.6163604285904751
Juventus-Milan,0.5168770117223023,0.48312298827769773
Lazio-Verona,0.20861949827609505,0.791380501723905
Inter-Torino,0.35403406597965914,0.6459659340203409
Bologna-Udinese,0.3002932452868998,0.6997067547131002
Atalanta-Empoli,0.40884326000661597,0.591156739993384
Napoli-Roma,0.600387784702513,0.3996122152974871
Fiorentina-Sassuolo,0.47938341155461006,0.5206165884453899
Genoa-Cagliari,0.43749413431426887,0.5625058656857311
