Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,54.0,89.0,35.0,7.0,3.0,1,91.0,28.0
Milan,33.0,74.0,41.0,7.0,7.0,2,79.0,24.0
Atalanta,43.0,90.0,47.0,9.0,6.0,3,78.0,23.0
Juventus,39.0,77.0,38.0,9.0,6.0,4,78.0,23.0
Napoli,45.0,86.0,41.0,5.0,9.0,5,77.0,24.0
Lazio,6.0,61.0,55.0,5.0,12.0,6,68.0,21.0
Roma,10.0,68.0,58.0,8.0,12.0,7,62.0,18.0
Sassuolo,8.0,64.0,56.0,11.0,10.0,8,62.0,17.0
Sampdoria,-2.0,52.0,54.0,7.0,16.0,9,52.0,15.0
Verona,-2.0,46.0,48.0,12.0,15.0,10,45.0,11.0
Genoa,-11.0,47.0,58.0,12.0,16.0,11,42.0,10.0
Bologna,-14.0,51.0,65.0,11.0,17.0,12,41.0,10.0
Fiorentina,-12.0,47.0,59.0,13.0,16.0,13,40.0,9.0
Udinese,-16.0,42.0,58.0,10.0,18.0,14,40.0,10.0
Spezia,-20.0,52.0,72.0,12.0,17.0,15,39.0,9.0
Cagliari,-16.0,43.0,59.0,10.0,19.0,16,37.0,9.0
Torino,-19.0,50.0,69.0,16.0,15.0,17,37.0,7.0
Benevento,-35.0,40.0,75.0,12.0,19.0,18,33.0,7.0
Crotone,-47.0,45.0,92.0,5.0,27.0,19,23.0,6.0
Parma,-44.0,39.0,83.0,11.0,24.0,20,20.0,3.0
