Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,42.0,71.0,29.0,7.0,2.0,1,76.0,23.0
Milan,22.0,60.0,38.0,6.0,6.0,2,66.0,20.0
Juventus,35.0,64.0,29.0,8.0,5.0,3,65.0,19.0
Atalanta,34.0,73.0,39.0,8.0,5.0,4,65.0,19.0
Napoli,34.0,71.0,37.0,3.0,9.0,5,63.0,20.0
Lazio,7.0,53.0,46.0,5.0,9.0,6,59.0,18.0
Roma,8.0,56.0,48.0,7.0,9.0,7,55.0,16.0
Sassuolo,4.0,54.0,50.0,10.0,9.0,8,49.0,13.0
Sampdoria,-3.0,43.0,46.0,6.0,14.0,9,42.0,12.0
Verona,0.0,40.0,40.0,8.0,13.0,10,41.0,11.0
Bologna,-4.0,44.0,48.0,8.0,14.0,11,38.0,10.0
Udinese,-8.0,34.0,42.0,9.0,14.0,12,36.0,9.0
Fiorentina,-12.0,41.0,53.0,9.0,15.0,13,33.0,8.0
Genoa,-13.0,35.0,48.0,12.0,13.0,14,33.0,7.0
Spezia,-18.0,42.0,60.0,9.0,15.0,15,33.0,8.0
Torino,-8.0,46.0,54.0,14.0,12.0,16,32.0,6.0
Benevento,-27.0,35.0,62.0,10.0,15.0,17,31.0,7.0
Cagliari,-18.0,36.0,54.0,7.0,18.0,18,28.0,7.0
Parma,-33.0,33.0,66.0,11.0,18.0,19,20.0,3.0
Crotone,-42.0,38.0,80.0,3.0,25.0,20,15.0,4.0
