Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,42.0,70.0,28.0,6.0,2.0,1,75.0,23.0
Milan,23.0,59.0,36.0,6.0,5.0,2,66.0,20.0
Atalanta,34.0,72.0,38.0,7.0,5.0,3,64.0,19.0
Juventus,33.0,61.0,28.0,8.0,5.0,4,62.0,18.0
Napoli,31.0,66.0,35.0,3.0,9.0,5,60.0,19.0
Lazio,10.0,51.0,41.0,5.0,8.0,6,59.0,18.0
Roma,8.0,55.0,47.0,6.0,9.0,7,54.0,16.0
Sassuolo,3.0,52.0,49.0,10.0,9.0,8,46.0,12.0
Verona,1.0,39.0,38.0,8.0,12.0,9,41.0,11.0
Sampdoria,-4.0,42.0,46.0,6.0,14.0,10,39.0,11.0
Bologna,-4.0,43.0,47.0,7.0,14.0,11,37.0,10.0
Udinese,-7.0,34.0,41.0,9.0,13.0,12,36.0,9.0
Genoa,-13.0,33.0,46.0,11.0,13.0,13,32.0,7.0
Spezia,-18.0,41.0,59.0,8.0,15.0,14,32.0,8.0
Torino,-8.0,45.0,53.0,13.0,12.0,15,31.0,6.0
Fiorentina,-13.0,39.0,52.0,9.0,15.0,16,30.0,7.0
Benevento,-27.0,33.0,60.0,9.0,15.0,17,30.0,7.0
Cagliari,-19.0,35.0,54.0,7.0,18.0,18,25.0,6.0
Parma,-31.0,32.0,63.0,11.0,17.0,19,20.0,3.0
Crotone,-41.0,38.0,79.0,3.0,24.0,20,15.0,4.0
