Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,51.0,82.0,31.0,7.0,2.0,1,88.0,27.0
Atalanta,44.0,86.0,42.0,9.0,5.0,2,75.0,22.0
Milan,31.0,72.0,41.0,6.0,7.0,3,75.0,23.0
Napoli,43.0,83.0,40.0,4.0,9.0,4,73.0,23.0
Juventus,35.0,70.0,35.0,9.0,6.0,5,72.0,21.0
Lazio,10.0,61.0,51.0,5.0,10.0,6,68.0,21.0
Roma,8.0,64.0,56.0,7.0,12.0,7,58.0,17.0
Sassuolo,4.0,59.0,55.0,11.0,10.0,8,56.0,15.0
Sampdoria,-6.0,48.0,54.0,7.0,16.0,9,46.0,13.0
Verona,-2.0,43.0,45.0,10.0,15.0,10,43.0,11.0
Bologna,-11.0,48.0,59.0,10.0,16.0,11,40.0,10.0
Udinese,-11.0,41.0,52.0,10.0,16.0,12,40.0,10.0
Fiorentina,-10.0,47.0,57.0,12.0,15.0,13,39.0,9.0
Genoa,-11.0,43.0,54.0,12.0,15.0,14,39.0,9.0
Cagliari,-15.0,43.0,58.0,9.0,18.0,15,36.0,9.0
Torino,-16.0,48.0,64.0,15.0,14.0,16,36.0,7.0
Spezia,-23.0,46.0,69.0,11.0,17.0,17,35.0,8.0
Benevento,-35.0,38.0,73.0,10.0,19.0,18,31.0,7.0
Crotone,-47.0,44.0,91.0,3.0,27.0,19,21.0,6.0
Parma,-39.0,38.0,77.0,11.0,22.0,20,20.0,3.0
