Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Napoli,8.0,8.0,0.0,0.0,0.0,1,6.0,2.0
Atalanta,5.0,8.0,3.0,0.0,0.0,2,6.0,2.0
Inter,4.0,9.0,5.0,0.0,0.0,3,6.0,2.0
Milan,4.0,4.0,0.0,0.0,0.0,4,6.0,2.0
Verona,4.0,4.0,0.0,0.0,0.0,5,6.0,2.0
Juventus,3.0,5.0,2.0,1.0,0.0,6,4.0,1.0
Sassuolo,3.0,5.0,2.0,1.0,0.0,7,4.0,1.0
Bologna,1.0,4.0,3.0,0.0,1.0,8,3.0,1.0
Fiorentina,0.0,4.0,4.0,0.0,1.0,9,3.0,1.0
Lazio,-1.0,3.0,4.0,0.0,1.0,10,3.0,1.0
Spezia,-1.0,3.0,4.0,0.0,1.0,11,3.0,1.0
Benevento,-2.0,5.0,7.0,0.0,1.0,12,3.0,1.0
Genoa,-3.0,4.0,7.0,0.0,1.0,13,3.0,1.0
Cagliari,-2.0,1.0,3.0,1.0,1.0,14,1.0,0.0
Roma,-3.0,2.0,5.0,1.0,1.0,15,1.0,0.0
Torino,-3.0,2.0,5.0,0.0,2.0,16,0.0,0.0
Udinese,-3.0,0.0,3.0,0.0,2.0,17,0.0,0.0
Sampdoria,-4.0,2.0,6.0,0.0,2.0,18,0.0,0.0
Crotone,-5.0,1.0,6.0,0.0,2.0,19,0.0,0.0
Parma,-5.0,1.0,6.0,0.0,2.0,20,0.0,0.0
