Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Milan,14.0,27.0,13.0,4.0,0.0,1,28.0,8.0
Inter,15.0,30.0,15.0,3.0,1.0,2,27.0,8.0
Napoli,16.0,27.0,11.0,0.0,4.0,3,24.0,8.0
Juventus,12.0,23.0,11.0,6.0,0.0,4,24.0,6.0
Roma,10.0,27.0,17.0,3.0,2.0,5,24.0,7.0
Sassuolo,9.0,22.0,13.0,5.0,1.0,6,23.0,6.0
Atalanta,5.0,23.0,18.0,4.0,3.0,7,19.0,5.0
Verona,5.0,16.0,11.0,4.0,3.0,8,19.0,5.0
Lazio,-2.0,18.0,20.0,3.0,4.0,9,18.0,5.0
Udinese,-1.0,14.0,15.0,3.0,5.0,10,15.0,4.0
Sampdoria,-2.0,18.0,20.0,2.0,6.0,11,14.0,4.0
Cagliari,-5.0,18.0,23.0,4.0,5.0,12,13.0,3.0
Bologna,-6.0,18.0,24.0,1.0,7.0,13,13.0,4.0
Parma,-7.0,12.0,19.0,6.0,4.0,14,12.0,2.0
Benevento,-10.0,13.0,23.0,3.0,6.0,15,12.0,3.0
Spezia,-8.0,17.0,25.0,5.0,5.0,16,11.0,2.0
Fiorentina,-8.0,12.0,20.0,4.0,6.0,17,10.0,2.0
Genoa,-12.0,12.0,24.0,4.0,7.0,18,7.0,1.0
Torino,-10.0,20.0,30.0,3.0,8.0,19,6.0,1.0
Crotone,-15.0,10.0,25.0,3.0,8.0,20,6.0,1.0
