Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Milan,15.0,29.0,14.0,4.0,0.0,1,31.0,9.0
Inter,16.0,32.0,16.0,3.0,1.0,2,30.0,9.0
Juventus,16.0,27.0,11.0,6.0,0.0,3,27.0,7.0
Napoli,14.0,27.0,13.0,0.0,5.0,4,24.0,8.0
Roma,7.0,28.0,21.0,3.0,3.0,5,24.0,7.0
Sassuolo,8.0,23.0,15.0,5.0,2.0,6,23.0,6.0
Atalanta,8.0,27.0,19.0,4.0,3.0,7,22.0,6.0
Lazio,0.0,20.0,20.0,3.0,4.0,8,21.0,6.0
Verona,5.0,17.0,12.0,5.0,3.0,9,20.0,5.0
Sampdoria,0.0,21.0,21.0,2.0,6.0,10,17.0,5.0
Udinese,-1.0,15.0,16.0,4.0,5.0,11,16.0,4.0
Benevento,-8.0,15.0,23.0,3.0,6.0,12,15.0,4.0
Cagliari,-5.0,19.0,24.0,5.0,5.0,13,14.0,3.0
Bologna,-6.0,19.0,25.0,2.0,7.0,14,14.0,4.0
Parma,-11.0,12.0,23.0,6.0,5.0,15,12.0,2.0
Fiorentina,-8.0,13.0,21.0,5.0,6.0,16,11.0,2.0
Spezia,-9.0,18.0,27.0,5.0,6.0,17,11.0,2.0
Torino,-10.0,21.0,31.0,4.0,8.0,18,7.0,1.0
Genoa,-14.0,12.0,26.0,4.0,8.0,19,7.0,1.0
Crotone,-17.0,11.0,28.0,3.0,9.0,20,6.0,1.0
