Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,38.0,63.0,25.0,5.0,2.0,1,62.0,19.0
Milan,20.0,50.0,30.0,5.0,4.0,2,56.0,17.0
Juventus,31.0,53.0,22.0,7.0,3.0,3,55.0,16.0
Roma,13.0,51.0,38.0,5.0,6.0,4,50.0,15.0
Atalanta,27.0,60.0,33.0,7.0,5.0,5,49.0,14.0
Napoli,25.0,56.0,31.0,2.0,9.0,6,47.0,15.0
Lazio,4.0,39.0,35.0,5.0,8.0,7,44.0,13.0
Verona,5.0,34.0,29.0,8.0,8.0,8,38.0,10.0
Sassuolo,0.0,42.0,42.0,9.0,8.0,9,36.0,9.0
Sampdoria,-3.0,36.0,39.0,5.0,12.0,10,32.0,9.0
Udinese,-5.0,29.0,34.0,8.0,10.0,11,32.0,8.0
Bologna,-8.0,33.0,41.0,7.0,12.0,12,28.0,7.0
Genoa,-11.0,27.0,38.0,9.0,11.0,13,27.0,6.0
Fiorentina,-12.0,29.0,41.0,8.0,12.0,14,26.0,6.0
Spezia,-14.0,33.0,47.0,8.0,12.0,15,26.0,6.0
Benevento,-22.0,26.0,48.0,8.0,12.0,16,26.0,6.0
Torino,-9.0,38.0,47.0,12.0,10.0,17,24.0,4.0
Cagliari,-14.0,29.0,43.0,7.0,14.0,18,22.0,5.0
Parma,-29.0,23.0,52.0,10.0,14.0,19,16.0,2.0
Crotone,-36.0,28.0,64.0,3.0,19.0,20,15.0,4.0
