Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Milan,13.0,21.0,8.0,2.0,0.0,1,23.0,7.0
Napoli,12.0,21.0,9.0,0.0,3.0,2,18.0,6.0
Inter,10.0,23.0,13.0,3.0,1.0,3,18.0,5.0
Sassuolo,8.0,20.0,12.0,3.0,1.0,4,18.0,5.0
Juventus,9.0,17.0,8.0,5.0,0.0,5,17.0,4.0
Roma,4.0,19.0,15.0,2.0,2.0,6,17.0,5.0
Verona,5.0,12.0,7.0,3.0,2.0,7,15.0,4.0
Atalanta,2.0,18.0,16.0,2.0,3.0,8,14.0,4.0
Lazio,-2.0,14.0,16.0,2.0,3.0,9,14.0,4.0
Bologna,0.0,14.0,14.0,0.0,5.0,10,12.0,4.0
Sampdoria,-1.0,14.0,15.0,2.0,4.0,11,11.0,3.0
Cagliari,-3.0,16.0,19.0,2.0,4.0,12,11.0,3.0
Udinese,-2.0,10.0,12.0,1.0,5.0,13,10.0,3.0
Spezia,-4.0,13.0,17.0,4.0,3.0,14,10.0,2.0
Benevento,-9.0,12.0,21.0,1.0,5.0,15,10.0,3.0
Parma,-7.0,10.0,17.0,3.0,4.0,16,9.0,2.0
Fiorentina,-5.0,10.0,15.0,2.0,5.0,17,8.0,2.0
Torino,-6.0,16.0,22.0,3.0,5.0,18,6.0,1.0
Genoa,-10.0,8.0,18.0,2.0,6.0,19,5.0,1.0
Crotone,-14.0,6.0,20.0,2.0,7.0,20,2.0,0.0
