Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,39.0,65.0,26.0,5.0,2.0,1,65.0,20.0
Juventus,33.0,56.0,23.0,7.0,3.0,2,58.0,17.0
Milan,19.0,50.0,31.0,5.0,5.0,3,56.0,17.0
Atalanta,29.0,63.0,34.0,7.0,5.0,4,52.0,15.0
Napoli,26.0,57.0,31.0,2.0,9.0,5,50.0,16.0
Roma,11.0,51.0,40.0,5.0,7.0,6,50.0,15.0
Lazio,5.0,42.0,37.0,5.0,8.0,7,47.0,14.0
Sassuolo,1.0,45.0,44.0,9.0,8.0,8,39.0,10.0
Verona,4.0,36.0,32.0,8.0,9.0,9,38.0,10.0
Udinese,-5.0,30.0,35.0,9.0,10.0,10,33.0,8.0
Sampdoria,-5.0,37.0,42.0,5.0,13.0,11,32.0,9.0
Bologna,-6.0,36.0,42.0,7.0,12.0,12,31.0,8.0
Fiorentina,-9.0,33.0,42.0,8.0,12.0,13,29.0,7.0
Genoa,-11.0,28.0,39.0,10.0,11.0,14,28.0,6.0
Spezia,-16.0,34.0,50.0,8.0,13.0,15,26.0,6.0
Benevento,-25.0,27.0,52.0,8.0,13.0,16,26.0,6.0
Torino,-10.0,39.0,49.0,12.0,11.0,17,24.0,4.0
Cagliari,-16.0,30.0,46.0,7.0,15.0,18,22.0,5.0
Parma,-27.0,25.0,52.0,10.0,14.0,19,19.0,3.0
Crotone,-37.0,30.0,67.0,3.0,20.0,20,15.0,4.0
