Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Milan,9.0,14.0,5.0,1.0,0.0,1,16.0,5.0
Sassuolo,9.0,18.0,9.0,2.0,0.0,2,14.0,4.0
Napoli,9.0,15.0,6.0,0.0,2.0,3,12.0,4.0
Juventus,7.0,13.0,6.0,3.0,0.0,4,12.0,3.0
Atalanta,4.0,17.0,13.0,0.0,2.0,5,12.0,4.0
Inter,5.0,15.0,10.0,2.0,1.0,6,11.0,3.0
Verona,5.0,8.0,3.0,2.0,1.0,7,11.0,3.0
Roma,3.0,13.0,10.0,2.0,1.0,8,11.0,3.0
Sampdoria,2.0,11.0,9.0,1.0,2.0,9,10.0,3.0
Lazio,-2.0,10.0,12.0,1.0,2.0,10,10.0,3.0
Fiorentina,-2.0,10.0,12.0,1.0,3.0,11,7.0,2.0
Cagliari,-3.0,12.0,15.0,1.0,3.0,12,7.0,2.0
Bologna,-1.0,11.0,12.0,0.0,4.0,13,6.0,2.0
Benevento,-7.0,10.0,17.0,0.0,4.0,14,6.0,2.0
Parma,-5.0,8.0,13.0,2.0,3.0,15,5.0,1.0
Genoa,-6.0,6.0,12.0,2.0,3.0,16,5.0,1.0
Spezia,-7.0,8.0,15.0,2.0,3.0,17,5.0,1.0
Torino,-4.0,12.0,16.0,1.0,4.0,18,4.0,1.0
Udinese,-5.0,6.0,11.0,0.0,5.0,19,3.0,1.0
Crotone,-11.0,6.0,17.0,1.0,5.0,20,1.0,0.0
