Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Milan,16.0,35.0,19.0,4.0,1.0,1,37.0,11.0
Inter,20.0,41.0,21.0,3.0,2.0,2,36.0,11.0
Juventus,18.0,34.0,16.0,6.0,1.0,3,33.0,9.0
Roma,11.0,35.0,24.0,3.0,3.0,4,33.0,10.0
Atalanta,15.0,37.0,22.0,5.0,3.0,5,29.0,8.0
Sassuolo,6.0,29.0,23.0,5.0,3.0,6,29.0,8.0
Napoli,16.0,33.0,17.0,1.0,6.0,7,28.0,9.0
Lazio,0.0,25.0,25.0,4.0,5.0,8,25.0,7.0
Verona,5.0,20.0,15.0,6.0,4.0,9,24.0,6.0
Benevento,-7.0,19.0,26.0,3.0,7.0,10,21.0,6.0
Sampdoria,-1.0,25.0,26.0,2.0,8.0,11,20.0,6.0
Bologna,-6.0,23.0,29.0,5.0,7.0,12,17.0,4.0
Udinese,-6.0,18.0,24.0,5.0,7.0,13,17.0,4.0
Fiorentina,-6.0,17.0,23.0,6.0,7.0,14,15.0,3.0
Cagliari,-10.0,23.0,33.0,5.0,8.0,15,14.0,3.0
Spezia,-10.0,21.0,31.0,5.0,8.0,16,14.0,3.0
Torino,-7.0,26.0,33.0,6.0,8.0,17,12.0,2.0
Parma,-18.0,13.0,31.0,6.0,8.0,18,12.0,2.0
Genoa,-14.0,16.0,30.0,5.0,9.0,19,11.0,2.0
Crotone,-22.0,16.0,38.0,3.0,11.0,20,9.0,2.0
