Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,43.0,72.0,29.0,7.0,2.0,1,79.0,24.0
Atalanta,39.0,78.0,39.0,8.0,5.0,2,68.0,20.0
Napoli,36.0,73.0,37.0,3.0,9.0,3,66.0,21.0
Juventus,35.0,65.0,30.0,9.0,5.0,4,66.0,19.0
Milan,19.0,60.0,41.0,6.0,7.0,5,66.0,20.0
Lazio,10.0,56.0,46.0,5.0,9.0,6,62.0,19.0
Roma,7.0,58.0,51.0,7.0,10.0,7,55.0,16.0
Sassuolo,5.0,55.0,50.0,10.0,9.0,8,52.0,14.0
Sampdoria,-4.0,43.0,47.0,6.0,15.0,9,42.0,12.0
Verona,-1.0,40.0,41.0,8.0,14.0,10,41.0,11.0
Udinese,-6.0,38.0,44.0,9.0,14.0,11,39.0,10.0
Bologna,-9.0,44.0,53.0,8.0,15.0,12,38.0,10.0
Genoa,-11.0,37.0,48.0,12.0,13.0,13,36.0,8.0
Fiorentina,-12.0,42.0,54.0,10.0,15.0,14,34.0,8.0
Spezia,-20.0,42.0,62.0,9.0,16.0,15,33.0,8.0
Torino,-10.0,46.0,56.0,14.0,13.0,16,32.0,6.0
Cagliari,-17.0,39.0,56.0,7.0,18.0,17,31.0,8.0
Benevento,-29.0,37.0,66.0,10.0,16.0,18,31.0,7.0
Parma,-34.0,36.0,70.0,11.0,19.0,19,20.0,3.0
Crotone,-41.0,42.0,83.0,3.0,25.0,20,18.0,5.0
