Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,41.0,68.0,27.0,5.0,2.0,1,71.0,22.0
Milan,20.0,54.0,34.0,6.0,5.0,2,60.0,18.0
Juventus,32.0,58.0,26.0,8.0,4.0,3,59.0,17.0
Atalanta,32.0,68.0,36.0,7.0,5.0,4,58.0,17.0
Napoli,29.0,63.0,34.0,2.0,9.0,5,56.0,18.0
Lazio,7.0,45.0,38.0,5.0,8.0,6,53.0,16.0
Roma,9.0,53.0,44.0,6.0,8.0,7,51.0,15.0
Verona,4.0,38.0,34.0,8.0,10.0,8,41.0,11.0
Sassuolo,0.0,48.0,48.0,10.0,9.0,9,40.0,10.0
Sampdoria,-4.0,39.0,43.0,6.0,13.0,10,36.0,10.0
Bologna,-6.0,39.0,45.0,7.0,13.0,11,34.0,9.0
Udinese,-7.0,32.0,39.0,9.0,12.0,12,33.0,8.0
Genoa,-10.0,31.0,41.0,11.0,11.0,13,32.0,7.0
Fiorentina,-10.0,36.0,46.0,9.0,13.0,14,30.0,7.0
Benevento,-24.0,30.0,54.0,9.0,13.0,15,30.0,7.0
Spezia,-16.0,37.0,53.0,8.0,14.0,16,29.0,7.0
Torino,-11.0,41.0,52.0,13.0,12.0,17,25.0,4.0
Cagliari,-19.0,31.0,50.0,7.0,17.0,18,22.0,5.0
Parma,-28.0,28.0,56.0,11.0,15.0,19,20.0,3.0
Crotone,-39.0,35.0,74.0,3.0,22.0,20,15.0,4.0
