,0,1,2
0,Venezia,Milan,0 - 3
1,Empoli,Sassuolo,1 - 5
2,Napoli,Sampdoria,1 - 0
3,Udinese,Atalanta,2 - 6
4,Genoa,Spezia,0 - 1
5,Roma,Juventus,3 - 4
6,Verona,Salernitana,1 - 2
7,Inter,Lazio,2 - 1
8,Torino,Fiorentina,4 - 0
9,Cagliari,Bologna,2 - 1
