,0,1,2
0,Spezia,Milan,1 - 2
1,Inter,Atalanta,2 - 2
2,Genoa,Verona,3 - 3
3,Juventus,Sampdoria,3 - 2
4,Empoli,Bologna,4 - 2
5,Sassuolo,Salernitana,1 - 0
6,Udinese,Fiorentina,0 - 1
7,Lazio,Roma,3 - 2
8,Napoli,Cagliari,2 - 0
9,Venezia,Torino,1 - 1
