,0,1,2
0,Genoa,Sampdoria,1 - 3
1,Fiorentina,Salernitana,4 - 0
2,Venezia,Juventus,1 - 1
3,Udinese,Milan,1 - 1
4,Torino,Bologna,2 - 1
5,Verona,Atalanta,1 - 2
6,Napoli,Empoli,0 - 1
7,Sassuolo,Lazio,2 - 1
8,Inter,Cagliari,4 - 0
9,Roma,Spezia,2 - 0
