,0,1,2
0,Torino,Genoa,3 - 2
1,Sampdoria,Spezia,2 - 1
2,Salernitana,Empoli,2 - 4
3,Sassuolo,Venezia,3 - 1
4,Bologna,Milan,2 - 4
5,Atalanta,Udinese,1 - 1
6,Fiorentina,Cagliari,3 - 0
7,Verona,Lazio,4 - 1
8,Roma,Napoli,0 - 0
9,Inter,Juventus,1 - 1
