,0,1,2
0,Atalanta,Spezia,5 - 2
1,Lazio,Juventus,0 - 2
2,Fiorentina,Milan,4 - 3
3,Sassuolo,Cagliari,2 - 2
4,Bologna,Venezia,0 - 1
5,Salernitana,Sampdoria,0 - 2
6,Inter,Napoli,3 - 2
7,Genoa,Roma,0 - 2
8,Verona,Empoli,2 - 1
9,Torino,Udinese,2 - 1
