,0,1,2
0,Inter,Empoli,4 - 2
1,Genoa,Juventus,2 - 1
2,Torino,Napoli,0 - 1
3,Sassuolo,Udinese,1 - 1
4,Lazio,Sampdoria,2 - 0
5,Spezia,Atalanta,1 - 3
6,Venezia,Bologna,4 - 3
7,Salernitana,Cagliari,1 - 1
8,Verona,Milan,1 - 3
9,Fiorentina,Roma,2 - 0
