,0,1,2
0,Empoli,Spezia,0 - 0
1,Inter,Verona,2 - 0
2,Cagliari,Juventus,1 - 2
3,Genoa,Lazio,1 - 4
4,Napoli,Fiorentina,2 - 3
5,Sassuolo,Atalanta,2 - 1
6,Venezia,Udinese,1 - 2
7,Roma,Salernitana,2 - 1
8,Torino,Milan,0 - 0
9,Bologna,Sampdoria,2 - 0
