,0,1,2
0,Lazio,Bologna,3 - 0
1,Napoli,Inter,1 - 1
2,Torino,Venezia,1 - 2
3,Milan,Sampdoria,1 - 0
4,Empoli,Cagliari,1 - 1
5,Genoa,Salernitana,1 - 1
6,Verona,Udinese,4 - 0
7,Sassuolo,Roma,2 - 2
8,Atalanta,Juventus,1 - 1
9,Spezia,Fiorentina,1 - 2
