,0,1,2
0,Genoa,Atalanta,0 - 0
1,Juventus,Cagliari,2 - 0
2,Sassuolo,Bologna,0 - 3
3,Venezia,Lazio,1 - 3
4,Verona,Fiorentina,1 - 1
5,Inter,Torino,1 - 0
6,Roma,Sampdoria,1 - 1
7,Empoli,Milan,2 - 4
8,Napoli,Spezia,0 - 1
9,Udinese,Salernitana,0 - 1
