,0,1,2
0,Milan,Udinese,1 - 1
1,Genoa,Inter,0 - 0
2,Salernitana,Bologna,1 - 1
3,Empoli,Juventus,2 - 3
4,Sassuolo,Fiorentina,2 - 1
5,Torino,Cagliari,1 - 2
6,Verona,Venezia,3 - 1
7,Spezia,Roma,0 - 1
8,Lazio,Napoli,1 - 2
9,Atalanta,Sampdoria,4 - 0
