,0,1,2
0,Cagliari,Salernitana,1 - 1
1,Empoli,Fiorentina,2 - 1
2,Sampdoria,Verona,3 - 1
3,Juventus,Atalanta,0 - 1
4,Venezia,Inter,0 - 2
5,Udinese,Genoa,0 - 0
6,Milan,Sassuolo,1 - 3
7,Spezia,Bologna,0 - 1
8,Roma,Torino,1 - 0
9,Napoli,Lazio,4 - 0
