,0,1,2
0,Sassuolo,Torino,0 - 1
1,Genoa,Fiorentina,1 - 2
2,Inter,Bologna,6 - 1
3,Salernitana,Atalanta,0 - 1
4,Empoli,Sampdoria,0 - 3
5,Venezia,Spezia,1 - 2
6,Verona,Roma,3 - 2
7,Lazio,Cagliari,2 - 2
8,Juventus,Milan,1 - 1
9,Udinese,Napoli,0 - 4
