,Squadra,Risultato
0,Cagliari,N
1,Salernitana,V
2,Torino,P
3,Sassuolo,P
4,Bologna,V
5,Verona,V
6,Sampdoria,N
7,Fiorentina,P
8,Roma,V
9,Atalanta,P
10,Venezia,N
11,Genoa,P
12,Juventus,V
13,Inter,V
14,Lazio,P
15,Spezia,P
16,Udinese,N
17,Napoli,V
18,Empoli,P
19,Milan,V
