,Squadra,Risultato
0,Spezia,V
1,Lazio,V
2,Milan,V
3,Cagliari,V
4,Empoli,P
5,Genoa,N
6,Udinese,N
7,Napoli,V
8,Juventus,V
9,Venezia,V
10,Salernitana,P
11,Inter,P
12,Verona,P
13,Sampdoria,P
14,Atalanta,V
15,Sassuolo,N
16,Bologna,N
17,Torino,P
18,Roma,P
19,Fiorentina,P
