,Squadra,Risultato
0,Inter,V
1,Genoa,V
2,Torino,P
3,Sassuolo,N
4,Lazio,V
5,Spezia,P
6,Venezia,V
7,Salernitana,N
8,Verona,P
9,Fiorentina,V
10,Empoli,P
11,Juventus,P
12,Napoli,V
13,Udinese,N
14,Sampdoria,P
15,Atalanta,V
16,Bologna,P
17,Cagliari,N
18,Milan,V
19,Roma,P
