,Squadra,Risultato
0,Verona,P
1,Inter,V
2,Empoli,P
3,Torino,P
4,Bologna,V
5,Udinese,N
6,Napoli,V
7,Roma,V
8,Cagliari,N
9,Sampdoria,P
10,Sassuolo,V
11,Genoa,P
12,Lazio,V
13,Atalanta,V
14,Salernitana,P
15,Juventus,N
16,Venezia,P
17,Fiorentina,P
18,Spezia,N
19,Milan,V
