,Squadra,Risultato
0,Inter,V
1,Udinese,V
2,Roma,V
3,Cagliari,P
4,Genoa,N
5,Bologna,N
6,Fiorentina,N
7,Venezia,P
8,Juventus,V
9,Napoli,P
10,Salernitana,P
11,Sampdoria,P
12,Atalanta,P
13,Lazio,V
14,Empoli,N
15,Torino,N
16,Verona,N
17,Sassuolo,V
18,Spezia,P
19,Milan,V
