,Squadra,Risultato
0,Spezia,V
1,Lazio,V
2,Salernitana,P
3,Fiorentina,V
4,Atalanta,P
5,Udinese,V
6,Sampdoria,P
7,Juventus,P
8,Verona,V
9,Milan,N
10,Venezia,P
11,Sassuolo,P
12,Torino,V
13,Empoli,P
14,Napoli,V
15,Cagliari,P
16,Roma,V
17,Inter,V
18,Genoa,P
19,Bologna,N
