,Squadra,Risultato
0,Sampdoria,P
1,Lazio,N
2,Spezia,P
3,Sassuolo,N
4,Milan,V
5,Juventus,N
6,Fiorentina,P
7,Atalanta,N
8,Bologna,V
9,Salernitana,V
10,Cagliari,V
11,Empoli,N
12,Verona,V
13,Genoa,N
14,Roma,P
15,Napoli,N
16,Udinese,V
17,Torino,N
18,Inter,P
19,Venezia,P
