,Squadra,Risultato
0,Verona,V
1,Genoa,N
2,Inter,V
3,Lazio,N
4,Cagliari,N
5,Napoli,V
6,Spezia,V
7,Torino,N
8,Empoli,P
9,Milan,N
10,Bologna,P
11,Udinese,N
12,Venezia,P
13,Atalanta,N
14,Fiorentina,N
15,Salernitana,P
16,Sampdoria,P
17,Sassuolo,N
18,Roma,V
19,Juventus,N
