,Squadra,Risultato
0,Sassuolo,P
1,Genoa,P
2,Inter,V
3,Salernitana,P
4,Empoli,P
5,Venezia,P
6,Verona,V
7,Lazio,N
8,Juventus,N
9,Udinese,P
10,Torino,V
11,Fiorentina,V
12,Bologna,P
13,Atalanta,V
14,Sampdoria,V
15,Spezia,V
16,Roma,P
17,Cagliari,N
18,Milan,N
19,Napoli,V
