,Squadra,Risultato
0,Empoli,N
1,Spezia,V
2,Juventus,V
3,Cagliari,P
4,Venezia,V
5,Sampdoria,P
6,Udinese,V
7,Lazio,V
8,Napoli,N
9,Milan,N
10,Genoa,N
11,Torino,P
12,Fiorentina,P
13,Atalanta,V
14,Roma,P
15,Bologna,V
16,Sassuolo,P
17,Salernitana,P
18,Verona,N
19,Inter,N
