,Squadra,Risultato
0,Sassuolo,P
1,Milan,V
2,Bologna,N
3,Torino,N
4,Monza,V
5,Salernitana,V
6,Udinese,N
7,Cremonese,P
8,Roma,V
9,Fiorentina,P
10,Inter,V
11,Juventus,P
12,Sampdoria,N
13,Empoli,N
14,Spezia,P
15,Verona,P
16,Atalanta,N
17,Napoli,V
18,Lecce,P
19,Lazio,V
