,Squadra,Risultato
0,Udinese,N
1,Empoli,V
2,Salernitana,N
3,Atalanta,P
4,Milan,V
5,Bologna,V
6,Sampdoria,P
7,Monza,V
8,Roma,P
9,Juventus,V
10,Lecce,N
11,Sassuolo,P
12,Cremonese,N
13,Napoli,V
14,Spezia,P
15,Torino,P
16,Fiorentina,V
17,Verona,P
18,Lazio,V
19,Inter,P
