,Squadra,Risultato
0,Sassuolo,P
1,Torino,P
2,Cremonese,V
3,Empoli,P
4,Napoli,V
5,Atalanta,V
6,Roma,V
7,Lecce,P
8,Milan,V
9,Udinese,P
10,Fiorentina,V
11,Inter,V
12,Salernitana,P
13,Lazio,V
14,Sampdoria,P
15,Monza,P
16,Spezia,P
17,Bologna,V
18,Verona,P
19,Juventus,V
