,Squadra,Risultato
0,Napoli,V
1,Cremonese,P
2,Lecce,N
3,Inter,V
4,Sassuolo,P
5,Torino,P
6,Udinese,P
7,Atalanta,V
8,Roma,V
9,Empoli,V
10,Juventus,P
11,Monza,V
12,Milan,N
13,Verona,P
14,Lazio,V
15,Spezia,V
16,Bologna,V
17,Salernitana,P
18,Fiorentina,P
19,Sampdoria,P
