,Squadra,Risultato
0,Verona,V
1,Salernitana,P
2,Fiorentina,P
3,Sampdoria,P
4,Monza,N
5,Spezia,P
6,Juventus,N
7,Bologna,N
8,Inter,P
9,Lazio,V
10,Lecce,P
11,Napoli,V
12,Torino,V
13,Udinese,V
14,Sassuolo,N
15,Roma,V
16,Atalanta,N
17,Cremonese,N
18,Empoli,V
19,Milan,P
