,Squadra,Risultato
0,Sampdoria,N
1,Salernitana,V
2,Spezia,P
3,Fiorentina,V
4,Inter,V
5,Verona,N
6,Bologna,N
7,Monza,P
8,Lazio,V
9,Juventus,P
10,Sassuolo,N
11,Udinese,P
12,Torino,V
13,Roma,P
14,Atalanta,P
15,Empoli,N
16,Napoli,N
17,Lecce,V
18,Cremonese,P
19,Milan,V
