,Squadra,Risultato
0,Atalanta,V
1,Juventus,V
2,Sampdoria,P
3,Salernitana,N
4,Verona,P
5,Lazio,V
6,Monza,N
7,Milan,N
8,Empoli,V
9,Udinese,N
10,Spezia,P
11,Lecce,P
12,Torino,V
13,Fiorentina,N
14,Inter,V
15,Sassuolo,P
16,Roma,N
17,Cremonese,N
18,Bologna,P
19,Napoli,N
