,Squadra,Risultato
0,Monza,P
1,Lazio,V
2,Cremonese,P
3,Juventus,N
4,Milan,V
5,Spezia,N
6,Verona,P
7,Salernitana,V
8,Fiorentina,N
9,Lecce,N
10,Udinese,V
11,Inter,P
12,Torino,V
13,Roma,N
14,Bologna,P
15,Sassuolo,N
16,Atalanta,V
17,Sampdoria,P
18,Napoli,N
19,Empoli,N
