,Squadra,Risultato
0,Spezia,V
1,Empoli,P
2,Napoli,V
3,Bologna,N
4,Lecce,P
5,Cremonese,P
6,Verona,N
7,Roma,P
8,Juventus,V
9,Milan,N
10,Inter,P
11,Udinese,V
12,Atalanta,P
13,Lazio,N
14,Torino,V
15,Fiorentina,V
16,Monza,N
17,Sassuolo,V
18,Sampdoria,P
19,Salernitana,N
