,Squadra,Risultato
0,Fiorentina,N
1,Milan,V
2,Lazio,P
3,Cremonese,N
4,Spezia,N
5,Verona,V
6,Udinese,V
7,Monza,P
8,Salernitana,N
9,Torino,V
10,Juventus,N
11,Inter,P
12,Napoli,V
13,Sassuolo,N
14,Bologna,N
15,Sampdoria,P
16,Roma,P
17,Atalanta,V
18,Empoli,N
19,Lecce,P
