,Squadra,Risultato
0,Milan,V
1,Empoli,N
2,Lecce,N
3,Lazio,P
4,Udinese,N
5,Bologna,P
6,Juventus,V
7,Napoli,V
8,Verona,V
9,Sampdoria,N
10,Torino,P
11,Spezia,N
12,Roma,N
13,Atalanta,V
14,Sassuolo,N
15,Monza,V
16,Fiorentina,P
17,Cremonese,P
18,Salernitana,P
19,Inter,N
