Partita,O,U
Roma-Verona,0.5031699945732362,0.49683000542676387
Udinese-Milan,0.4231531184196641,0.5768468815803359
Frosinone-Cagliari,0.5205275311102742,0.4794724688897258
Empoli-Monza,0.18073457347843214,0.8192654265215679
Salernitana-Genoa,0.285625661817156,0.714374338182844
Lecce-Juventus,0.4342149742769559,0.5657850257230441
Bologna-Fiorentina,0.4732511006998411,0.5267488993001589
Torino-Lazio,0.1635228017249054,0.8364771982750946
Sassuolo-Napoli,0.6864108244001144,0.3135891755998857
Inter-Atalanta,0.6786237741833878,0.32137622581661224
