Partita,0,1,2,3,4
Roma-Verona,0.5323872546664125,0.15384062852033972,0.16878238894401495,0.12753869495664932,0.017451032912583608
Udinese-Milan,0.6201260971744103,0.21482892837840228,0.09689823373312262,0.06309867636231922,0.005048064351745407
Frosinone-Cagliari,0.33114468223293875,0.30582445243351775,0.20377403108348785,0.141995949850092,0.01726088439996365
Empoli-Monza,0.6685775474066225,0.18400516284813348,0.13036761910617117,0.013430153789806994,0.0036195168492660474
Salernitana-Genoa,0.5018489375952528,0.3864674630008169,0.07611279240098127,0.030592160336320437,0.004978646666628539
Lecce-Juventus,0.6788254486452971,0.18706687156965962,0.11595960874195665,0.01148076904759939,0.006667301995487135
Bologna-Fiorentina,0.6031590506451255,0.22198693056791755,0.14863764678281155,0.021086356116869293,0.005130015887276203
Torino-Lazio,0.46527385357263645,0.3067087848012895,0.1498904993757792,0.06934576585854416,0.008781096391750702
Sassuolo-Napoli,0.4821574874527239,0.27234212965420207,0.15719629606058047,0.05637156213308831,0.03193252469940517
Inter-Atalanta,0.4641166492802382,0.13109412987769273,0.16900980647741343,0.2076647844499346,0.028114629914720853
